road_name,road_type,longitude,latitude
Kilpauk Garden Road,secondary,80.2306084,13.082849
Maniakara Choultry Road,tertiary,80.286846,13.1044895
Ebrahim Shahib street,primary,80.2947831,13.1027889
Ebrahim Sahib Street,primary,80.2935208,13.1018401
,primary,80.2911146,13.102467
Padavattamman Koil Street,secondary,80.2759489,13.1038999
,primary,80.2708892,13.1042712
Cemetry Road,secondary,80.2812929,13.1104606
West Madha Church Street,secondary,80.2941087,13.1086868
Basin Bridge,primary,80.2726308,13.1037814
Flowers Road,tertiary,80.2500603,13.0809584
Gangadeeshwar Koil Street,primary,80.254702,13.0854189
Ritherdon Road,secondary,80.2587891,13.0793192
Vepery Church Road,tertiary,80.2605989,13.0867197
,secondary_link,80.2629632,13.0883726
General Hospital Road,primary,80.271122,13.0810532
Strahans Road,primary,80.2510617,13.0982721
Avadhanam Papier Road,tertiary,80.2586901,13.0904844
Baker Street,tertiary,80.2700194,13.087023
Naval Hospital Road,tertiary,80.266937,13.0807792
Vigneshwara Road,tertiary,80.2662528,13.0903822
Decaster Road,tertiary,80.2605011,13.10265
D'Mellows Salai,secondary,80.2681408,13.0942828
Rangiah Street,tertiary,80.2606331,13.0904816
Vadamalai Pillai Street,tertiary,80.2587029,13.0908619
Tana street,tertiary,80.2550197,13.087708
Mahalingapuram Main Road,secondary,80.2347628,13.0557772
Mangadu - Pattu - Mugalivakkam Road,tertiary,80.1431479,13.0196718
East Jones Road,tertiary,80.2289552,13.0247164
Kothaval Chavadi Street,tertiary,80.21365,13.021969
Jeenis Road,tertiary,80.2245859,13.0198085
Towards Adayar,primary,80.2248824,13.0151863
,primary_link,80.2149099,13.0101861
Inner Ring Road,primary,80.2071224,13.0255753
Kathipara Interchange Ramp,primary_link,80.204415,13.0077567
,primary_link,80.2040544,13.0127185
Guindy Bridge,primary,80.2157351,13.0102073
St Patricks Church Road,tertiary,80.1962405,13.0072853
Kathipara Interchange Flyover,primary,80.2059253,13.0075844
Anna Salai (Mount Road),primary,80.2061372,13.0077549
Maraimalai Adigal Bridge,primary,80.2252306,13.0167311
,secondary,80.2098764,13.0351943
Ramasamy Salai,tertiary,80.1934007,13.0418377
Azhagiriswamy Salai,tertiary,80.1987829,13.0367084
